	ref_hk
MRPS34	9.879887
CLNS1A	9.104878
EED	1.4393989
TSG101	5.2806616
BCS1L	1.5848913
LMAN1	7.4513574
ARHGEF10L	1.6431456
EIF4G3	2.5125747
GRAMD4	1.0326058
ZNF638	4.7938795
TIMM21	1.4108611
ZNF37A	1.874453
MARK3	3.1849446
SLC25A3	24.516548
TMEM131	2.0763912
DLG1	2.7954257
RAB7A	8.713996
BCAP29	4.0386276
SART3	1.4721998
EXOSC7	2.6933992
MKRN2	1.6832861
RBM7	4.6553755
PTPN23	0.7288002
MLH1	1.4914558
UNG	2.4455895
KLHL20	1.1043714
TOP2B	3.605172
TM9SF3	7.302659
DNAJC10	2.4454548
GTF3C1	1.110582
USP33	2.260893
SNRPA	5.3626466
SIRT6	1.9586512
CAPZB	13.317523
UBE2A	5.809648
ARAF	1.9821459
MCCC1	1.3102888
UBE2K	4.617946
PIK3C3	1.1448256
PPP2R5C	4.503497
GNB1	5.5832477
MLLT10	2.377352
VDAC3	8.220602
PCM1	6.1691823
ITCH	1.1645631
SDF4	7.403251
TOLLIP	2.4291904
UBE2D4	1.0498021
XRCC5	10.028901
MKNK1	1.3849556
REXO1	1.07775
SAR1A	5.805464
CIC	1.1376051
FDFT1	5.910992
DDX1	5.2629724
DNM2	3.3408558
SLC35C2	2.436537
RAB21	3.2476983
SMARCA2	3.0974214
CNOT4	3.6058702
PSEN1	2.3501163
CPOX	0.8325554
DLGAP4	2.561428
OSTM1	0.9554089
EXD2	0.7256243
UBA5	2.1715968
ZNF506	1.0394045
JMJD4	0.7896985
WDR70	1.9894122
BZW1	9.446621
ME2	2.6637058
MRPL22	6.9661818
GSK3B	2.333566
XPO1	4.698743
RNF13	3.4675574
TNPO1	3.3738406
PLOD1	2.1858912
DIS3	2.1315868
TDRD3	1.5170597
ZNF446	0.5373303
RPS5	39.948708
YTHDC1	6.3537273
CHMP2B	5.2978415
PPIE	3.6459317
ZMPSTE24	1.8824431
STARD7	4.143225
NOA1	2.505644
REST	4.0558796
WBP11	4.614707
EIF3I	12.245716
TXLNA	1.7760911
NCOA1	2.070116
RAB10	6.287738
HADHA	10.628506
CD82	1.4577476
MYNN	1.3699371
PREP	2.0683467
SEH1L	1.289263
CPNE3	4.698838
RRN3	1.372076
CTTN	5.15761
CHERP	1.6070528
ATG16L1	0.58180606
POMGNT1	1.719686
CHMP5	8.564286
NFX1	1.3483928
DIMT1	2.0039418
EIF2AK1	3.6577525
SEPHS1	2.3708098
MRPL28	4.9319158
ITPKC	1.4309096
TMED2	13.312848
ZFAND6	6.92746
TXLNG	1.3295631
HUWE1	2.2396271
ZW10	0.68919444
ALG9	0.35866216
ACOX3	0.57761335
PIGS	1.9022219
ATXN7L3	0.7914931
PSMC5	8.07949
OGFOD1	1.0968677
NOP14	0.9231929
SF3B2	9.031094
DNM1L	2.7932696
ERGIC2	5.1548567
METTL2A	1.2751309
CNOT3	1.4889086
DDX18	8.766242
KHSRP	3.42824
ANKRD10	5.4690323
CRLS1	4.0703645
ATRN	0.7406407
NSFL1C	4.1610804
ZNF343	0.22060809
MAVS	1.5840119
SNX5	6.130459
RPL6	41.106472
MAPKAPK5	2.2014143
ESF1	4.3942385
ANAPC5	5.727758
TMEM230	11.487929
PEBP1	20.287214
CDIP1	1.3808922
GANAB	3.5534463
RBM41	0.96182877
MLF2	11.312762
DDX24	8.1749935
ZBTB25	0.73520654
NECAP1	2.0868652
DHX32	1.1824144
PAPOLA	11.506713
CCNK	2.1574128
MRPS33	8.30437
NDUFB2	19.769575
NUDC	8.661302
MAEA	2.9362662
MUL1	1.2000768
SPG21	5.4501905
DNAJB11	6.4853196
GNPTG	2.3830423
GOLGA3	1.8811651
MCOLN1	1.137531
GLG1	5.024586
TNRC6A	2.8150392
EXOC1	1.9025347
RBM27	1.2067568
PUS7	0.6211215
DLD	4.2823057
TXNL1	10.321728
FH	3.7457936
CDV3	6.2335052
ALKBH5	3.717575
SPAG7	7.7529354
TMEM101	3.747809
PSME1	17.941292
PPP2R3C	2.7758598
HAUS4	1.1629418
OSGEP	2.693815
RNF31	0.056373287
SCFD1	3.6292274
HNRNPC	17.93367
TOX4	4.4916406
TINF2	2.1772022
SNAP23	3.4992924
MFSD11	1.9882958
COMT	7.70056
ECHDC1	4.562981
LRRFIP2	3.8018565
SEC22C	1.4531513
HDAC6	1.3807074
UPRT	0.6895021
CDC23	1.262233
AAAS	2.005858
CBX5	6.3436484
DHPS	4.7228003
ARCN1	3.1092136
PSMD5	1.0657392
NANS	10.365084
IKZF5	0.7364152
WAC	5.139352
NUBP2	4.316052
HIVEP1	1.2428087
BRPF3	0.9921767
MRPS18A	4.583592
CDC5L	4.09071
SH3GLB1	6.974055
TMED1	3.177117
RAB18	4.7067366
MZF1	1.0493912
OCEL1	2.2256982
PSMD8	13.01962
HNRNPM	13.636592
NDUFB7	16.98402
TECR	11.181697
TIMM13	14.976484
POLR2E	8.665928
TRMT2A	1.219534
RANBP1	14.273875
ZDHHC8	0.5354824
SNAP29	2.6835475
CRKL	1.4178495
LZTR1	0.7750022
SMARCB1	8.0036745
BCL2L13	1.6509284
SF3A1	2.2702959
SPECC1L	0.9112258
SNRPD3	11.152398
PES1	1.7530191
MAPK1	2.686598
SRRD	0.75546956
PATZ1	1.1142025
TFIP11	0.77927643
EIF3L	19.94611
MICALL1	0.3908732
POLR2F	9.9176855
PICK1	1.0515678
DDX17	13.385608
TCF20	0.95625514
HSCB	2.3138504
TOMM22	10.825709
FBXO7	4.5858874
POLDIP3	2.3107264
PPP6R2	1.8222384
SUN2	2.1337569
CYB5R3	5.81148
LMF2	2.484009
RHBDD3	1.299848
PACSIN2	2.675096
AP1B1	1.617062
HMGXB4	3.2408378
CHKB	1.0289351
MCAT	1.5669225
THOC5	1.016672
ZMAT5	2.1205382
TAB1	0.69612
MTMR3	0.799074
SAMM50	3.753108
TXN2	8.987216
EIF3D	12.31109
SGSM3	1.8819771
IFT27	3.5149288
RBX1	14.131127
L3MBTL2	0.8385028
RANGAP1	1.0270424
ZC3H7B	1.2583872
PHF5A	4.348621
DESI1	2.0732617
CERK	1.6110312
ZBED4	0.6606835
ABHD4	0.5606233
KHNYN	1.2522888
FKBP3	7.7158504
SDR39U1	2.2024724
RBM23	4.3502836
PRMT5	1.8507437
PSMC6	7.125537
GNPNAT1	1.644291
ATP6V1D	3.8925717
PIGH	1.6904961
PSMA3	8.415849
VTI1B	5.6106725
TIMM9	4.720506
AHSA1	6.4176245
ALKBH1	0.58326584
SNW1	5.6223693
ITPK1	1.7109392
PPM1A	3.3113937
ERH	18.261297
EIF5	15.598454
TELO2	1.4185005
PSMB5	13.967621
YY1	8.018806
ACIN1	4.2806463
CCNB1IP1	6.428907
APEX1	11.912953
PABPN1	6.9086037
ARHGAP5	3.9323888
CINP	2.6617846
SRP54	3.6748652
CHD8	1.8997216
DCAF11	2.5890248
PSMA6	1.5931188
EMC9	2.3071096
TM9SF1	0.49369055
SEC23A	3.4515333
GMPR2	2.9787467
PNN	10.87981
RABGGTA	1.1358374
PCIF1	1.4439087
GSS	3.2377756
TRPC4AP	1.9539093
ABHD12	3.0122619
ADNP	3.5059636
PFDN4	5.71522
CSTF1	1.3732473
TPD52L2	3.1535885
DNAJC5	1.1958233
NELFCD	3.927982
PRPF6	4.101527
PSMA7	20.09187
DIDO1	1.8602043
GID8	3.7407851
ARFRP1	2.4811661
CDS2	1.7333932
TM9SF4	1.8795146
CRNKL1	1.6854169
POFUT1	1.075943
NOP56	6.2306414
IDH3B	6.0871186
CDK5RAP1	1.2521341
TTI1	0.69937885
RPRD1B	1.6442944
PXMP4	0.7388571
CHMP4B	8.647856
CST3	22.03955
ACTR5	0.4427685
AHCY	6.4518576
DNTTIP1	2.8687007
PIGU	1.3932374
ACOT8	2.1313915
RBFA	2.4620197
USP14	3.270369
VAPA	13.831083
MIB1	1.8255552
RIOK3	3.7790422
PSMD10	1.729659
NKAP	3.0129933
MOSPD1	1.1290168
WDR13	4.3012023
XIAP	2.7914538
CCDC22	1.1223559
NAA10	6.81104
RBBP7	7.510833
SLC35A2	1.4087355
PQBP1	5.9763923
EMD	3.7015219
PGK1	13.2225685
MAGT1	2.545631
UBL4A	1.5188969
