	ref_hk
EED	2.083272
TSG101	6.3656025
BCS1L	1.0888168
LMAN1	12.993234
ARHGEF10L	1.7275677
EIF4G3	4.548052
GRAMD4	0.62450093
ZNF638	7.7231274
TIMM21	0.67705846
ZNF37A	2.5878658
MARK3	5.6562777
SLC25A3	28.082132
TMEM131	2.288776
DLG1	4.178739
RAB7A	17.675241
BCAP29	7.513468
SART3	2.448374
EXOSC7	3.1996698
MKRN2	1.5517653
RBM7	7.4148474
PTPN23	1.3261361
MLH1	1.0952677
UNG	0.8707314
KLHL20	0.94146496
TOP2B	4.3101587
TM9SF3	12.689374
DNAJC10	4.0187926
GTF3C1	1.7737174
USP33	3.117675
SNRPA	4.506929
SIRT6	0.8991772
CAPZB	13.428551
UBE2A	8.468581
ARAF	1.4287727
MCCC1	0.74185604
UBE2K	8.776538
PIK3C3	1.6947662
PPP2R5C	5.5010834
GNB1	11.695718
MLLT10	1.8406012
VDAC3	5.7236004
PCM1	8.926064
ITCH	3.093694
SDF4	7.3287444
TOLLIP	3.0055294
UBE2D4	1.1474248
XRCC5	13.868187
MKNK1	1.3395503
REXO1	2.088879
SAR1A	9.295508
CIC	2.4683332
FDFT1	6.3304305
DDX1	4.359709
DNM2	2.7697775
SLC35C2	2.0127013
RAB21	13.69862
SMARCA2	5.422166
CNOT4	6.296243
PSEN1	2.669672
CPOX	0.4738864
DLGAP4	5.815003
OSTM1	2.1072612
EXD2	0.7106169
UBA5	2.0509758
ZNF506	2.1093655
JMJD4	1.1413555
WDR70	1.8153384
BZW1	19.32973
ME2	2.1058955
MRPL22	5.4096417
GSK3B	3.3777347
XPO1	5.1341023
RNF13	5.487674
TNPO1	6.5767465
PLOD1	1.1291459
DIS3	4.172727
TDRD3	1.3700693
ZNF446	0.4052949
RPS5	42.44711
YTHDC1	11.341109
CHMP2B	9.774357
PPIE	2.4784214
ZMPSTE24	2.435298
STARD7	5.0262938
NOA1	1.9516139
REST	4.9085345
WBP11	7.454282
EIF3I	17.69417
TXLNA	3.6044605
NCOA1	3.8874726
RAB10	10.930752
HADHA	10.142652
CD82	3.881168
MYNN	2.486762
PREP	1.1866348
SEH1L	2.4713306
CPNE3	6.0779786
RRN3	2.4069867
CTTN	11.894614
CHERP	2.5499215
ATG16L1	0.93967164
POMGNT1	1.8219335
CHMP5	11.130796
NFX1	1.8363978
DIMT1	4.685993
EIF2AK1	3.1531434
SEPHS1	2.3109548
MRPL28	3.6103032
ITPKC	4.404207
TMED2	14.076504
ZFAND6	9.296864
TXLNG	5.683207
HUWE1	7.227322
ZW10	0.8411492
ALG9	0.46066308
ACOX3	0.8879803
PIGS	1.1399354
ATXN7L3	1.4299583
PSMC5	10.262321
OGFOD1	1.7525083
NOP14	3.5793853
SF3B2	10.444717
DNM1L	5.6093783
ERGIC2	5.7015343
METTL2A	1.3477232
CNOT3	2.133017
DDX18	11.696309
KHSRP	5.3184457
ANKRD10	9.572985
CRLS1	2.2334092
ATRN	0.863518
