	ref_hk
MRPS34	6.777667
CLNS1A	4.277125
EED	1.2647179
TSG101	3.8541882
BCS1L	0.8072436
LMAN1	7.793535
ARHGEF10L	0.80244744
EIF4G3	2.585144
GRAMD4	1.2048151
ZNF638	4.107029
TIMM21	0.6749469
ZNF37A	1.868659
MARK3	3.4167173
SLC25A3	13.661511
TMEM131	3.0499318
DLG1	3.1730943
RAB7A	7.2518425
BCAP29	2.795117
SART3	1.1328185
EXOSC7	1.9789287
MKRN2	0.8974283
RBM7	2.6333423
PTPN23	0.7135956
MLH1	0.8534264
UNG	0.9529499
KLHL20	1.0697075
TOP2B	2.8841484
TM9SF3	11.180192
DNAJC10	3.7500772
GTF3C1	1.3101457
USP33	2.5246217
SNRPA	2.0109065
SIRT6	0.93573666
CAPZB	9.787724
UBE2A	3.9881356
ARAF	1.8634125
MCCC1	1.2272595
UBE2K	5.8513136
PIK3C3	1.0953779
PPP2R5C	7.0071115
GNB1	5.8249803
MLLT10	1.6046816
VDAC3	4.3087125
PCM1	5.4444976
ITCH	1.855393
SDF4	5.712367
TOLLIP	2.2100463
UBE2D4	0.7462958
XRCC5	7.957074
MKNK1	1.4274405
REXO1	0.9423698
SAR1A	4.8316064
CIC	0.8371838
FDFT1	4.9917054
DDX1	3.8449967
DNM2	4.659206
SLC35C2	1.8170141
RAB21	3.7335367
SMARCA2	4.3430033
CNOT4	3.077992
PSEN1	1.8770261
CPOX	0.6187411
DLGAP4	1.8062348
OSTM1	1.2020042
EXD2	0.49985602
UBA5	1.9141423
ZNF506	1.2182992
JMJD4	0.6228685
WDR70	1.5869781
BZW1	7.6388497
ME2	3.1299574
MRPL22	3.8088746
GSK3B	1.9540507
XPO1	3.3144915
RNF13	3.414894
TNPO1	3.6108522
PLOD1	0.76223063
DIS3	2.142232
TDRD3	1.679652
ZNF446	0.35982653
RPS5	29.886627
YTHDC1	6.0448394
CHMP2B	4.5799575
PPIE	2.1919792
ZMPSTE24	2.324998
STARD7	3.1391726
NOA1	1.1153338
REST	2.5924191
WBP11	3.3647568
EIF3I	7.233065
TXLNA	1.4382067
NCOA1	1.9392332
RAB10	6.4921603
HADHA	6.711699
CD82	4.041673
MYNN	1.1086081
PREP	1.0268422
SEH1L	0.90429765
CPNE3	4.808528
RRN3	1.0104015
CTTN	6.1306443
CHERP	1.1099603
ATG16L1	0.7289902
POMGNT1	1.2436641
CHMP5	7.542285
NFX1	1.4533124
DIMT1	0.9930769
EIF2AK1	4.3338175
SEPHS1	1.3588896
MRPL28	3.1925936
ITPKC	1.631324
TMED2	10.681874
ZFAND6	5.5058136
TXLNG	1.4673532
HUWE1	2.9329216
ZW10	0.4374478
ALG9	0.32512543
ACOX3	0.6634815
PIGS	1.7894503
ATXN7L3	0.94945264
PSMC5	6.334802
OGFOD1	0.89607805
NOP14	1.3188723
SF3B2	7.170191
DNM1L	2.1098711
ERGIC2	3.6841779
METTL2A	0.95504117
CNOT3	1.0961522
DDX18	7.499686
KHSRP	2.3225179
ANKRD10	2.9168873
CRLS1	3.9085329
ATRN	1.0616137
NSFL1C	2.5336027
ZNF343	0.1810037
MAVS	2.159264
SNX5	3.7424583
RPL6	29.433386
MAPKAPK5	1.3580052
ESF1	3.2473874
ANAPC5	4.979944
TMEM230	7.5400143
PEBP1	13.5332155
CDIP1	0.80758566
GANAB	2.808429
RBM41	0.94959646
MLF2	5.5141344
DDX24	12.08885
ZBTB25	0.77524644
NECAP1	1.936205
DHX32	1.9154931
PAPOLA	8.666919
CCNK	2.375612
MRPS33	4.5828915
NDUFB2	14.371155
NUDC	8.0533
MAEA	1.958597
MUL1	0.69973284
SPG21	3.2028744
DNAJB11	3.2036483
GNPTG	1.9662738
GOLGA3	2.9984703
MCOLN1	0.9172776
GLG1	3.8212433
TNRC6A	3.199989
EXOC1	2.4683783
RBM27	1.0301555
PUS7	0.44467703
DLD	2.9173224
TXNL1	5.760739
FH	1.9926629
CDV3	7.8822
ALKBH5	3.3436964
SPAG7	4.299372
TMEM101	2.1673038
PSME1	14.211306
PPP2R3C	2.046109
HAUS4	0.39153498
OSGEP	1.9850205
RNF31	0.063308924
SCFD1	3.3350918
HNRNPC	12.5304785
TOX4	3.8195102
TINF2	1.701249
SNAP23	3.422297
MFSD11	1.7985535
COMT	6.5986085
ECHDC1	2.832358
LRRFIP2	2.7021534
SEC22C	1.7506008
HDAC6	0.83686125
UPRT	0.6212099
CDC23	0.7685214
AAAS	0.8865592
CBX5	2.9706216
DHPS	2.8802316
ARCN1	3.5455003
PSMD5	1.1652308
NANS	7.049026
IKZF5	0.7936693
WAC	6.358264
NUBP2	2.5098443
HIVEP1	0.9415213
BRPF3	0.5538628
MRPS18A	3.1788049
CDC5L	3.512675
SH3GLB1	5.6516337
TMED1	1.6000665
RAB18	4.255655
MZF1	1.0688604
