	ref_hk
CLNS1A	11.002877
EED	1.8707632
TSG101	5.62421
BCS1L	1.7203735
LMAN1	9.501618
ARHGEF10L	1.0224026
EIF4G3	3.412629
GRAMD4	1.0269341
ZNF638	6.5676684
TIMM21	1.8682323
ZNF37A	2.2492774
MARK3	4.6565347
SLC25A3	28.402975
TMEM131	2.8896515
DLG1	4.2789526
RAB7A	10.279882
BCAP29	3.9731984
SART3	2.422222
EXOSC7	3.6513736
MKRN2	1.9972336
RBM7	4.6351104
PTPN23	1.0746819
MLH1	2.0773995
UNG	2.74708
KLHL20	1.6209575
TOP2B	4.925736
TM9SF3	8.888567
DNAJC10	4.314746
GTF3C1	1.7202497
USP33	3.6043193
SNRPA	8.045467
SIRT6	1.7516415
CAPZB	16.339739
UBE2A	7.008903
ARAF	2.290384
MCCC1	1.6452672
UBE2K	5.975171
PIK3C3	1.6998894
PPP2R5C	8.837688
GNB1	8.891898
MLLT10	3.6594455
VDAC3	9.528413
PCM1	9.506194
ITCH	2.066614
SDF4	9.824752
TOLLIP	3.2005265
UBE2D4	1.1094394
XRCC5	13.660805
MKNK1	1.9226754
REXO1	1.5730822
SAR1A	6.641928
CIC	1.5503693
FDFT1	7.1758738
DDX1	6.1548
DNM2	3.9305174
SLC35C2	2.731014
RAB21	4.417608
SMARCA2	5.617581
CNOT4	4.7079296
PSEN1	3.2925582
CPOX	1.121538
DLGAP4	3.2667844
OSTM1	1.3783444
EXD2	0.8384784
UBA5	2.544084
ZNF506	1.8126252
JMJD4	1.0671424
WDR70	2.543884
BZW1	11.555757
ME2	3.5888913
MRPL22	7.255965
GSK3B	3.5431526
XPO1	7.1897764
RNF13	4.086014
TNPO1	4.761031
PLOD1	3.2126794
DIS3	2.6141188
TDRD3	1.7652829
ZNF446	0.66728586
RPS5	42.164864
YTHDC1	9.867542
CHMP2B	6.168744
PPIE	4.75223
ZMPSTE24	2.198062
STARD7	5.601873
NOA1	3.2256088
REST	6.08817
WBP11	6.294401
EIF3I	14.077083
TXLNA	1.8755611
NCOA1	3.4326706
RAB10	6.7998033
HADHA	13.836886
CD82	3.3928342
MYNN	1.8728409
PREP	2.0807884
SEH1L	1.6064596
CPNE3	5.66603
RRN3	2.1357632
CTTN	4.952151
CHERP	2.2267334
ATG16L1	0.9812944
POMGNT1	1.8570375
CHMP5	9.234197
NFX1	2.1951787
DIMT1	2.6804206
EIF2AK1	4.5728817
SEPHS1	2.4472897
MRPL28	6.179836
ITPKC	1.5776013
TMED2	12.883782
ZFAND6	7.7755027
TXLNG	2.3310065
HUWE1	4.195482
ZW10	0.853398
ALG9	0.72458404
ACOX3	0.8703116
PIGS	2.7906327
ATXN7L3	1.1266607
PSMC5	9.901925
OGFOD1	1.7074344
NOP14	1.7558947
SF3B2	13.066656
DNM1L	4.0104694
ERGIC2	6.370502
METTL2A	1.4214606
CNOT3	1.9045664
DDX18	11.041881
KHSRP	4.8771973
ANKRD10	6.3661823
CRLS1	4.994927
ATRN	1.8815656
NSFL1C	5.315867
ZNF343	0.33629408
MAVS	2.3667111
SNX5	7.898902
RPL6	42.380047
MAPKAPK5	3.1281865
ESF1	6.1662326
ANAPC5	7.1100187
TMEM230	12.868209
PEBP1	24.578463
CDIP1	2.5195055
GANAB	5.13537
RBM41	1.4435623
MLF2	13.827287
DDX24	14.372033
ZBTB25	1.7123979
NECAP1	2.901149
DHX32	1.1782433
PAPOLA	14.445821
CCNK	3.3648195
MRPS33	8.492639
NDUFB2	21.065922
NUDC	11.050921
MAEA	3.542137
MUL1	1.4676559
SPG21	6.6028857
DNAJB11	5.586238
GNPTG	3.194908
GOLGA3	2.1365826
MCOLN1	1.2929232
GLG1	7.3952565
TNRC6A	4.1561503
EXOC1	2.520165
RBM27	1.8844587
PUS7	0.81449807
DLD	4.730632
TXNL1	11.982364
FH	4.33775
CDV3	9.218276
ALKBH5	4.130609
SPAG7	8.218038
TMEM101	4.1328526
PSME1	19.90222
PPP2R3C	3.8825233
HAUS4	1.9223628
OSGEP	3.8495545
RNF31	0.21219958
SCFD1	4.386302
HNRNPC	25.06263
TOX4	6.040935
TINF2	2.840938
SNAP23	4.688683
MFSD11	2.4240267
COMT	8.881662
ECHDC1	5.202995
LRRFIP2	4.7594166
SEC22C	2.8028483
HDAC6	1.892678
UPRT	1.2441746
CDC23	1.5484709
AAAS	3.0184875
CBX5	8.891698
DHPS	5.9188747
