	ref_hk
EED	2.411527
TSG101	5.01083
BCS1L	0.86491215
LMAN1	7.1824903
ARHGEF10L	4.2459583
EIF4G3	15.393596
GRAMD4	1.714056
ZNF638	19.217798
TIMM21	1.0856422
ZNF37A	3.0316408
MARK3	12.722647
SLC25A3	9.427285
TMEM131	8.383438
DLG1	12.801714
RAB7A	11.922901
BCAP29	5.6969533
SART3	2.3356094
EXOSC7	2.0988538
MKRN2	1.4276842
RBM7	1.8556831
PTPN23	1.3424697
MLH1	2.258711
UNG	1.3160466
KLHL20	5.8015656
TOP2B	6.282603
TM9SF3	9.187824
DNAJC10	4.5303154
GTF3C1	2.8086967
USP33	13.583795
SNRPA	2.1704109
SIRT6	0.5686436
CAPZB	12.045101
UBE2A	3.2871819
ARAF	1.1719488
MCCC1	4.6510525
UBE2K	11.607951
PIK3C3	6.24702
PPP2R5C	9.139901
GNB1	12.514186
MLLT10	12.373665
VDAC3	4.8116927
PCM1	16.457703
ITCH	10.477914
SDF4	4.6782775
TOLLIP	1.5092026
UBE2D4	1.0994748
XRCC5	11.766645
MKNK1	4.803923
REXO1	1.3655329
SAR1A	5.413712
CIC	1.1598679
FDFT1	3.233456
DDX1	5.5595074
DNM2	5.348757
SLC35C2	2.095224
RAB21	5.934357
SMARCA2	13.521036
CNOT4	10.940402
PSEN1	6.627766
CPOX	1.1427685
DLGAP4	4.7888384
OSTM1	2.9006944
EXD2	1.4256436
UBA5	2.7888753
ZNF506	2.2411244
JMJD4	0.51634496
WDR70	11.342177
BZW1	6.7550263
ME2	3.7683926
MRPL22	2.490904
GSK3B	10.492466
XPO1	9.202006
RNF13	11.520258
TNPO1	8.330211
PLOD1	1.6583788
DIS3	4.3669214
TDRD3	8.495678
ZNF446	0.45038354
RPS5	12.106014
YTHDC1	9.371782
CHMP2B	3.4629893
PPIE	1.8887285
ZMPSTE24	2.8428826
STARD7	2.9342232
NOA1	1.2498857
REST	4.437813
WBP11	3.483352
EIF3I	4.982152
TXLNA	2.6745842
NCOA1	16.40108
RAB10	10.225351
HADHA	8.622244
CD82	1.1469171
MYNN	1.6207105
PREP	2.729537
SEH1L	1.6414968
CPNE3	6.178944
RRN3	1.8314253
CTTN	6.825186
CHERP	1.0241941
ATG16L1	1.4509407
POMGNT1	1.1317158
CHMP5	3.9730392
NFX1	6.272892
DIMT1	1.8789523
EIF2AK1	3.5396974
SEPHS1	1.6673431
MRPL28	1.6327412
ITPKC	2.5490494
TMED2	4.912729
ZFAND6	9.847629
TXLNG	4.133732
HUWE1	8.385882
ZW10	1.1817113
ALG9	0.60769033
ACOX3	1.9474634
PIGS	1.1442997
ATXN7L3	0.96094453
PSMC5	5.1370974
OGFOD1	1.627429
NOP14	1.711845
SF3B2	6.0065737
DNM1L	6.3858795
ERGIC2	4.633783
METTL2A	0.9535862
CNOT3	1.2389387
DDX18	7.0138874
KHSRP	2.806322
ANKRD10	9.119271
CRLS1	5.9405384
ATRN	6.3682857
NSFL1C	2.951066
ZNF343	0.512497
MAVS	4.289075
SNX5	4.015396
RPL6	12.08988
MAPKAPK5	2.4724638
ESF1	5.59906
ANAPC5	7.551722
TMEM230	5.701314
PEBP1	8.40907
CDIP1	1.2056465
GANAB	4.0066276
RBM41	3.833368
MLF2	3.584623
DDX24	10.26943
ZBTB25	2.69483
NECAP1	1.5114518
DHX32	3.2241063
PAPOLA	10.387178
CCNK	3.1263928
MRPS33	2.0206406
NDUFB2	6.9996552
NUDC	4.8418627
MAEA	2.410337
MUL1	0.7764889
SPG21	3.2050457
DNAJB11	1.9289184
GNPTG	2.919921
GOLGA3	3.5358117
MCOLN1	2.7462368
GLG1	12.097379
TNRC6A	18.506475
EXOC1	7.936881
RBM27	1.0912068
PUS7	2.0241418
DLD	4.3022
TXNL1	4.9292326
FH	1.3949554
CDV3	6.403017
ALKBH5	2.7740028
SPAG7	2.956006
TMEM101	1.0304229
PSME1	5.839311
PPP2R3C	4.662629
HAUS4	0.43245453
OSGEP	2.140871
RNF31	0.10463129
SCFD1	10.824736
HNRNPC	16.825312
TOX4	4.4887342
TINF2	1.3524302
SNAP23	6.37311
MFSD11	3.574613
COMT	6.3558893
ECHDC1	6.6487722
LRRFIP2	9.189912
SEC22C	2.856238
HDAC6	1.5017294
UPRT	1.0629903
CDC23	1.2981582
AAAS	1.3753142
CBX5	4.054156
DHPS	1.3423959
ARCN1	3.7663054
PSMD5	3.1272328
NANS	2.59878
IKZF5	1.6943119
WAC	14.251628
NUBP2	1.5627993
HIVEP1	6.210594
BRPF3	1.1188171
MRPS18A	1.3256216
CDC5L	4.9794617
SH3GLB1	12.026643
TMED1	1.3606122
RAB18	5.2237253
MZF1	2.427947
OCEL1	0.9833473
PSMD8	6.049449
HNRNPM	9.391213
NDUFB7	5.508421
