	ref_hk
EED	1.9005225
TSG101	6.117738
BCS1L	1.1279037
LMAN1	6.364817
ARHGEF10L	5.8426147
EIF4G3	12.210799
GRAMD4	1.306902
ZNF638	13.375822
TIMM21	1.4036566
ZNF37A	1.4780272
MARK3	10.3810005
SLC25A3	16.96303
TMEM131	7.1126366
DLG1	10.655889
RAB7A	12.62468
BCAP29	3.6787734
SART3	1.9879605
EXOSC7	3.5796442
MKRN2	1.6194392
RBM7	2.3246734
PTPN23	1.301533
MLH1	2.0798914
UNG	2.058944
KLHL20	3.6520514
TOP2B	6.2286396
TM9SF3	7.4418426
DNAJC10	3.9194927
GTF3C1	2.777273
USP33	6.802815
SNRPA	3.9009187
SIRT6	1.1090096
CAPZB	14.289919
UBE2A	4.1841574
ARAF	2.0516872
MCCC1	4.9498396
UBE2K	10.734576
PIK3C3	4.833976
PPP2R5C	7.839858
GNB1	10.582297
MLLT10	9.796651
VDAC3	6.617677
PCM1	12.64997
ITCH	8.202847
SDF4	3.4403384
TOLLIP	3.1514626
UBE2D4	1.2586789
XRCC5	13.590333
MKNK1	2.5200381
REXO1	1.2767297
SAR1A	5.359609
CIC	1.1485808
FDFT1	5.5546536
DDX1	6.134718
DNM2	8.675708
SLC35C2	2.1841953
RAB21	5.0461073
SMARCA2	8.182868
CNOT4	7.5672617
PSEN1	4.9043503
CPOX	0.5993508
DLGAP4	4.2441354
OSTM1	2.1182337
EXD2	1.4416271
UBA5	3.2016227
ZNF506	1.3525788
JMJD4	0.66992426
WDR70	8.895625
BZW1	7.464597
ME2	2.7265081
MRPL22	4.9556074
GSK3B	9.014189
XPO1	10.104538
RNF13	6.9858418
TNPO1	7.3992605
PLOD1	2.149001
DIS3	2.4424124
TDRD3	6.13644
ZNF446	0.5886927
RPS5	20.830357
YTHDC1	8.234473
CHMP2B	4.2156944
PPIE	3.213474
ZMPSTE24	2.8666735
STARD7	4.669799
NOA1	1.5204287
REST	5.3000045
WBP11	4.480381
EIF3I	7.939861
TXLNA	1.7722045
NCOA1	11.155548
RAB10	11.295767
HADHA	9.094133
CD82	1.6388716
MYNN	1.5374806
PREP	1.905044
SEH1L	1.791526
CPNE3	5.940355
RRN3	2.0278382
CTTN	6.3014297
CHERP	1.0743808
ATG16L1	1.0708107
POMGNT1	2.1075358
CHMP5	7.5985546
NFX1	5.1182046
DIMT1	1.6600796
EIF2AK1	4.725823
SEPHS1	2.4538245
MRPL28	4.7818055
ITPKC	1.313831
TMED2	7.414328
ZFAND6	10.555705
TXLNG	2.2172925
HUWE1	7.0424733
ZW10	1.1507143
ALG9	0.41494438
ACOX3	1.2811886
PIGS	1.6257906
ATXN7L3	0.77596545
PSMC5	7.11667
