	ref_hk
CLNS1A	7.2477837
EED	1.1703326
TSG101	6.390395
BCS1L	1.0898194
LMAN1	11.879459
ARHGEF10L	0.7217545
EIF4G3	2.619181
GRAMD4	0.3598571
ZNF638	5.3817987
TIMM21	0.8996775
ZNF37A	1.7742639
MARK3	5.0941515
SLC25A3	27.924114
TMEM131	1.8455946
DLG1	4.821605
RAB7A	18.180174
BCAP29	6.6011314
SART3	1.626382
EXOSC7	4.3377924
MKRN2	0.9150274
RBM7	4.896683
PTPN23	0.8745118
MLH1	0.9464309
UNG	1.2250963
KLHL20	1.0248444
TOP2B	4.6731167
TM9SF3	11.524753
DNAJC10	2.735765
GTF3C1	1.398208
USP33	2.4831326
SNRPA	3.6610203
SIRT6	0.8613253
CAPZB	15.726484
UBE2A	6.7539253
ARAF	2.025961
MCCC1	1.3447174
UBE2K	6.930924
PIK3C3	1.4401045
PPP2R5C	4.9297576
GNB1	6.752416
MLLT10	1.651941
VDAC3	5.336902
PCM1	6.1152077
ITCH	2.6473317
SDF4	6.3550572
TOLLIP	3.6045861
UBE2D4	1.0464985
XRCC5	12.908733
MKNK1	1.5010388
REXO1	0.9184774
SAR1A	10.082227
CIC	1.0975492
FDFT1	6.959948
DDX1	4.6748714
DNM2	2.638996
SLC35C2	2.5543752
RAB21	7.2335157
SMARCA2	3.6528528
CNOT4	5.3973446
PSEN1	2.5011728
CPOX	0.4676364
DLGAP4	4.105596
OSTM1	1.623088
EXD2	0.5369842
UBA5	2.317841
ZNF506	1.7153667
JMJD4	0.70913786
WDR70	1.319372
BZW1	17.696068
ME2	2.496735
MRPL22	4.1165776
GSK3B	2.754917
XPO1	4.442869
RNF13	5.2092957
TNPO1	5.1197453
PLOD1	0.79677117
DIS3	3.3006785
TDRD3	1.0703148
ZNF446	0.31912756
RPS5	45.39278
YTHDC1	8.457805
CHMP2B	14.211586
PPIE	3.020001
ZMPSTE24	2.5044088
STARD7	4.3045874
NOA1	1.5536419
REST	4.4390435
WBP11	5.833778
EIF3I	14.946726
TXLNA	1.4600232
NCOA1	1.99466
RAB10	13.212795
HADHA	8.914082
CD82	7.4849653
MYNN	1.804702
PREP	0.65393907
SEH1L	2.9570937
CPNE3	8.064025
RRN3	1.1107026
CTTN	9.7914
CHERP	1.9342437
ATG16L1	0.62047577
POMGNT1	2.8634253
CHMP5	11.853752
NFX1	2.0868397
DIMT1	5.7100677
EIF2AK1	3.6630964
SEPHS1	1.5839183
MRPL28	3.7733023
ITPKC	4.443941
TMED2	20.122263
ZFAND6	9.947225
TXLNG	3.4211178
HUWE1	3.8774238
ZW10	0.55323154
ALG9	0.2912989
ACOX3	0.83876806
PIGS	1.3357892
ATXN7L3	0.8845451
PSMC5	10.800725
OGFOD1	1.2233837
NOP14	2.121426
SF3B2	10.414494
DNM1L	3.4111223
ERGIC2	5.7851686
METTL2A	1.5244901
CNOT3	1.6532063
DDX18	9.294015
KHSRP	2.7733688
ANKRD10	4.2165647
CRLS1	3.3169599
ATRN	0.7312028
NSFL1C	4.7626967
ZNF343	0.19528578
MAVS	1.8959562
SNX5	4.4001927
RPL6	45.082798
MAPKAPK5	2.1192958
ESF1	4.7302494
ANAPC5	4.9958177
TMEM230	9.79276
PEBP1	24.884628
CDIP1	1.1326996
GANAB	3.448664
RBM41	0.7711281
MLF2	10.954269
DDX24	13.441641
ZBTB25	0.83056855
NECAP1	2.0599258
DHX32	1.6516918
PAPOLA	21.096674
CCNK	3.7020092
MRPS33	5.9842668
NDUFB2	22.389254
NUDC	16.870617
MAEA	1.8183261
MUL1	0.9427179
SPG21	7.0113597
DNAJB11	8.881993
GNPTG	2.389585
GOLGA3	2.285909
MCOLN1	0.7976404
GLG1	3.7055335
TNRC6A	2.833996
EXOC1	2.1388514
RBM27	2.0050309
PUS7	0.99534655
DLD	3.1084964
TXNL1	8.765386
FH	2.0862582
CDV3	14.532935
ALKBH5	3.1742015
SPAG7	7.5316076
TMEM101	3.336577
PSME1	17.42292
PPP2R3C	2.1454778
HAUS4	0.98658836
OSGEP	1.4369059
RNF31	0.117260404
