	ref_hk
BCS1L	1.6479719
LMAN1	11.592443
ARHGEF10L	0.14027049
EIF4G3	2.5763996
GRAMD4	0.9140142
ZNF638	9.032713
TIMM21	2.2348025
ZNF37A	2.4612796
MARK3	5.244499
SLC25A3	30.93426
TMEM131	2.148886
DLG1	3.499595
RAB7A	16.067457
BCAP29	3.1383693
SART3	3.7505136
EXOSC7	5.6025896
MKRN2	3.7302372
RBM7	5.373738
PTPN23	0.8771977
MLH1	4.2860365
UNG	4.0642695
KLHL20	2.4426315
TOP2B	8.233722
TM9SF3	4.8267856
DNAJC10	3.6777277
GTF3C1	2.5544896
USP33	5.6108904
SNRPA	14.763415
SIRT6	2.4934094
CAPZB	26.875149
UBE2A	10.883665
ARAF	3.3235672
MCCC1	2.224962
UBE2K	8.721981
PIK3C3	3.3058367
PPP2R5C	9.90276
GNB1	7.665248
MLLT10	5.3727856
VDAC3	13.24762
PCM1	13.753149
ITCH	3.051937
SDF4	6.7428083
TOLLIP	2.9399292
UBE2D4	1.0370976
XRCC5	24.645208
MKNK1	3.0665822
REXO1	1.2617548
SAR1A	7.4627404
CIC	1.3412119
FDFT1	16.107725
DDX1	6.6838045
DNM2	3.5081704
SLC35C2	2.763132
RAB21	3.9155715
SMARCA2	5.9619107
CNOT4	5.368078
PSEN1	2.6974533
CPOX	1.2031032
DLGAP4	2.3099709
OSTM1	2.172614
EXD2	0.7895827
UBA5	5.0209203
ZNF506	2.6582718
JMJD4	1.2023872
WDR70	4.0305476
BZW1	19.360228
ME2	6.5208197
MRPL22	11.034996
GSK3B	5.0114994
XPO1	10.7596855
RNF13	4.739919
TNPO1	6.7101283
PLOD1	1.1750959
DIS3	4.0546575
TDRD3	2.220502
ZNF446	0.5995512
RPS5	44.75956
YTHDC1	12.27051
CHMP2B	6.354691
PPIE	6.233386
ZMPSTE24	2.9213662
STARD7	6.3707113
NOA1	5.1915355
REST	9.637854
WBP11	9.956478
EIF3I	21.24693
TXLNA	2.3192797
NCOA1	2.2931485
RAB10	9.19526
HADHA	15.865431
CD82	7.065909
MYNN	3.4100459
PREP	2.8939104
SEH1L	4.808113
CPNE3	8.121469
RRN3	3.7892718
CTTN	1.5057052
CHERP	3.0019252
ATG16L1	1.367772
POMGNT1	1.1295639
CHMP5	11.581425
NFX1	3.1815608
DIMT1	4.1359878
EIF2AK1	8.355173
SEPHS1	3.9916387
MRPL28	9.293584
ITPKC	0.6042958
TMED2	14.688857
ZFAND6	7.464028
TXLNG	2.9072988
HUWE1	5.9280705
ZW10	1.8888202
ALG9	0.8467807
ACOX3	0.8598982
PIGS	3.9733615
ATXN7L3	1.0490063
PSMC5	16.08615
OGFOD1	3.0126164
NOP14	4.113809
SF3B2	21.746014
DNM1L	5.7743087
ERGIC2	7.837841
METTL2A	1.7923623
CNOT3	3.9344113
DDX18	15.371256
KHSRP	5.710099
ANKRD10	7.630958
CRLS1	2.5457196
ATRN	0.63365984
NSFL1C	6.557601
ZNF343	0.3284261
MAVS	2.5320308
SNX5	10.412081
RPL6	45.15416
MAPKAPK5	2.983762
ESF1	6.93239
ANAPC5	13.249659
TMEM230	16.096214
PEBP1	23.551033
CDIP1	3.0147457
GANAB	4.705393
RBM41	1.6669067
MLF2	13.707485
DDX24	18.486042
ZBTB25	3.291799
NECAP1	4.4794526
DHX32	0.7874692
PAPOLA	20.00927
CCNK	6.3182793
MRPS33	9.335161
NDUFB2	22.306053
NUDC	20.57925
MAEA	3.6669242
MUL1	1.5296468
SPG21	5.219443
DNAJB11	7.9346714
GNPTG	3.3654032
GOLGA3	3.4010413
MCOLN1	1.5850146
GLG1	8.198264
TNRC6A	4.6805444
EXOC1	3.4625294
RBM27	1.4728221
PUS7	1.1779456
DLD	6.0756125
TXNL1	16.135168
FH	6.047763
CDV3	9.069251
ALKBH5	4.0830717
SPAG7	8.499302
TMEM101	3.5433862
PSME1	29.48164
PPP2R3C	5.5862107
HAUS4	4.405032
OSGEP	6.626444
RNF31	0.38846818
SCFD1	5.8625736
HNRNPC	36.615925
TOX4	9.661965
TINF2	5.095774
SNAP23	6.679676
MFSD11	3.242547
COMT	7.4305735
ECHDC1	9.75558
LRRFIP2	5.125579
SEC22C	3.0054045
HDAC6	1.9232197
UPRT	1.8274026
CDC23	2.639071
AAAS	4.92931
CBX5	16.697266
DHPS	10.951916
ARCN1	5.1691484
PSMD5	2.7138052
NANS	6.3151407
IKZF5	1.7234926
WAC	8.356339
NUBP2	7.6321135
HIVEP1	1.3462347
BRPF3	0.97217304
MRPS18A	4.7315164
CDC5L	8.493926
SH3GLB1	10.957955
TMED1	2.977682
RAB18	7.144074
MZF1	1.6619971
OCEL1	1.6070776
PSMD8	20.119556
HNRNPM	23.312971
NDUFB7	15.764161
TECR	17.591818
TIMM13	16.64187
POLR2E	16.742207
TRMT2A	3.6296377
RANBP1	21.236675
ZDHHC8	0.79843265
SNAP29	5.3401866
CRKL	2.88146
LZTR1	0.80744046
SMARCB1	14.169148
BCL2L13	2.7150877
SF3A1	9.025067
SPECC1L	1.5357313
SNRPD3	21.827019
PES1	3.476631
MAPK1	3.8016136
SRRD	1.0202557
PATZ1	1.4331807
TFIP11	2.5230665
EIF3L	29.151123
MICALL1	0.35577348
POLR2F	11.945083
PICK1	0.8416897
DDX17	23.772234
TCF20	1.4222683
HSCB	2.3515346
TOMM22	18.358522
FBXO7	9.410889
POLDIP3	5.3517723
PPP6R2	3.5085578
SUN2	3.7580292
CYB5R3	8.67206
LMF2	3.1797106
RHBDD3	1.6920831
PACSIN2	2.799792
AP1B1	3.4050353
HMGXB4	5.8260026
CHKB	1.4430782
MCAT	2.1404562
THOC5	2.8382258
ZMAT5	3.1262505
TAB1	1.1883001
MTMR3	1.4716393
SAMM50	6.86726
TXN2	11.918092
EIF3D	21.060455
SGSM3	2.01871
IFT27	3.628509
RBX1	23.41369
L3MBTL2	1.839582
RANGAP1	4.2520766
ZC3H7B	1.6687821
PHF5A	13.241212
DESI1	3.1528902
CERK	1.964596
ZBED4	1.0537
ABHD4	0.40222996
KHNYN	1.3919371
FKBP3	14.279973
SDR39U1	8.418421
RBM23	6.6910443
PRMT5	4.3786902
PSMC6	12.691307
GNPNAT1	1.8348136
ATP6V1D	7.126164
PIGH	3.4419124
PSMA3	16.435587
VTI1B	4.7371836
TIMM9	7.8997355
AHSA1	17.870308
ALKBH1	1.3547025
SNW1	11.697052
ITPK1	1.0022541
PPM1A	3.7865016
ERH	26.569372
EIF5	22.32944
TELO2	2.0685444
PSMB5	12.731458
YY1	14.568646
ACIN1	10.596356
CCNB1IP1	6.6646113
APEX1	20.014393
PABPN1	12.433575
ARHGAP5	4.572763
CINP	4.522684
SRP54	8.08782
CHD8	4.815002
DCAF11	6.103578
PSMA6	16.388968
EMC9	4.098683
TM9SF1	1.6850989
SEC23A	4.0385056
GMPR2	6.173803
PNN	20.57868
RABGGTA	1.6492436
PCIF1	4.3024483
GSS	4.7419095
TRPC4AP	5.0928783
ABHD12	2.2933471
ADNP	3.5477762
PFDN4	11.835149
CSTF1	2.6592984
TPD52L2	4.4451327
DNAJC5	0.9881012
NELFCD	8.9256935
PRPF6	9.027776
PSMA7	29.893068
DIDO1	4.0817604
GID8	8.173311
ARFRP1	4.5210705
CDS2	4.2299914
TM9SF4	2.151298
CRNKL1	4.1778765
POFUT1	0.9959595
NOP56	14.169891
IDH3B	10.483006
CDK5RAP1	2.867843
TTI1	1.3093756
RPRD1B	2.1068642
PXMP4	1.1805936
CHMP4B	8.2705965
CST3	8.173324
ACTR5	0.6620511
AHCY	10.346769
DNTTIP1	4.9851527
PIGU	1.6989413
ACOT8	3.065234
RBFA	3.9699528
USP14	7.197484
VAPA	25.039398
MIB1	2.3404162
RIOK3	6.83872
PSMD10	4.168524
NKAP	6.601874
MOSPD1	1.6450427
WDR13	2.853144
XIAP	4.0083833
CCDC22	3.1355772
NAA10	7.521476
RBBP7	11.801339
SLC35A2	1.3546473
PQBP1	9.821851
EMD	9.723938
PGK1	29.890461
MAGT1	3.3422222
UBL4A	2.2071705
CD99L2	0.86632735
CDK16	4.0048833
PBDC1	6.068593
ARMCX3	10.135876
FNDC3A	4.7891755
DNAJC3	4.7113667
MRPS31	6.3011885
DHRS12	0.76270586
MGRN1	3.279694
PHKB	3.8321776
LYRM1	3.9272954
NUTF2	14.729752
CENPT	3.3557005
LONP2	4.9855185
N4BP1	2.0286217
CTCF	8.24855
POLR2C	10.016938
USB1	3.0225172
CYB5B	9.090741
NME3	4.5719557
PSMD7	17.215958
SETD6	1.0832902
VAC14	1.5480335
TANGO6	0.6574112
COG4	3.1298661
WDR59	2.285911
CMC2	7.735155
AXIN1	0.7744164
NPRL3	3.0205736
MPG	7.340179
USP10	5.6662364
TSC2	3.2455697
CLCN7	1.2412645
METRN	0.9565671
STUB1	5.4689283
NUBP1	2.6213346
UBE2I	24.534008
GSPT1	7.7935677
ZNF174	0.9255012
UBFD1	1.6522241
EARS2	0.69683367
HMOX2	5.0112553
DNAJA3	2.7242565
BFAR	6.3774986
MAZ	6.8494687
STX4	2.970772
CDIPT	5.0864615
BCKDK	2.9624138
KAT8	4.411521
RNF40	2.8396664
AAGAB	3.7474859
LACTB	1.5860968
TRIP4	1.9025296
MTFMT	1.2916701
RAB11A	15.285031
TMEM87A	4.9298635
DTWD1	4.113411
GABPB1	4.8557944
DNAJC17	2.2380757
EIF3J	12.59688
SPG11	2.8785987
VPS18	0.9253038
BLOC1S6	5.415567
ZDHHC2	0.65040636
BRF2	2.6533237
ZFAND1	6.8936744
NBN	4.4846244
UBE2W	2.1192355
RAB2A	12.484888
EIF3E	37.6307
EMC2	2.881416
ARMC1	5.336306
CHRAC1	7.7811813
INTS10	5.9522004
DCTN6	5.1527724
R3HCC1	3.5048988
GSR	2.2046998
PPP2CB	2.3102384
ERICH1	5.951571
NUCB1	8.802899
ECH1	11.533946
HNRNPL	9.578263
NFKBIB	2.972396
SNRNP70	18.563517
CLPTM1	2.8269455
PPP1R37	1.3043935
PIH1D1	11.677023
ERCC2	1.2788606
PLEKHJ1	7.437001
OAZ1	34.855396
TRMT1	3.6975276
STX10	6.046176
PTOV1	6.0812445
SGTA	4.8953247
C19orf53	26.818003
TIMM44	3.528782
VRK3	4.8590183
FAM32A	8.753415
AKAP8	2.7634788
ILVBL	2.1212838
ZNF419	0.5454834
POP4	4.4210954
URI1	3.6966112
PDCD5	14.082448
TIMM50	5.5101194
GPI	12.490336
PLD3	5.339454
TBCB	11.922094
POLR2I	11.219517
HNRNPUL1	11.526261
FZR1	1.4293283
PLIN3	9.070518
MRPL4	10.9877405
ETFB	12.27387
BABAM1	6.7702274
TYK2	2.2830412
CDC37	17.920456
NAPA	18.536652
GRWD1	3.1518373
TMEM205	5.134899
BCAT2	3.014806
PPP2R1A	14.196591
WDR83OS	15.90204
GCDH	3.8893235
DNASE2	2.3802407
LENG1	3.1733246
PRPF31	8.344235
TFPT	4.4211516
COPE	23.347809
DDX49	4.9811325
ARMC6	3.350264
TMEM147	7.2356515
USF2	3.694267
KXD1	8.667018
FKBP8	16.691341
SUGP1	1.9416146
GSK3A	1.7147138
ZNF574	2.15361
GTPBP10	2.3706825
PMPCB	11.897361
DNAJC2	8.751139
NAMPT	6.6582556
HBP1	5.3635902
BRAT1	2.2407672
SSBP1	21.153452
HIBADH	3.5574565
TAX1BP1	15.9306555
CHCHD2	38.40238
PDAP1	15.059479
PTCD1	0.5762687
ZKSCAN1	5.945087
EIF3B	4.5531173
RBM28	3.9661055
LSM5	21.685526
C1GALT1	4.050679
PLOD3	1.5068903
RPA3	16.226994
ZNHIT1	14.993384
TMEM106B	4.1763687
CHCHD3	10.9299
PSMA2	12.889831
MRPL32	7.3653593
COA1	10.089443
URGCP	0.9224136
TMEM248	3.87044
POLD2	10.395419
BCL7B	3.455361
YKT6	3.378361
EIF4H	16.99976
NMRK1	2.869526
SEC61B	27.769604
CDC37L1	3.0557292
PLGRKT	5.743002
CREB3	3.098659
RGP1	2.4336934
EDF1	28.687937
BAG1	9.056246
RAPGEF1	1.7954596
UBE2R2	5.6786346
ZFAND5	9.357553
HPS1	4.5621414
EIF3A	18.579035
MAPK8	4.0715246
SEC23IP	2.733208
ATE1	3.0354786
NSMCE4A	5.072014
PLEKHA1	1.8550992
MICU1	3.1705947
FBXW4	0.88749117
TNKS2	4.5152416
GBF1	2.1368096
FBXL15	2.039544
CUEDC2	8.855988
ACBD5	2.06649
LHPP	2.133991
GTPBP4	6.8698277
BCCIP	9.422506
MTPAP	1.4297943
PITRM1	2.1857512
GLRX3	10.228242
XPNPEP1	3.6229677
SHOC2	5.1406937
TFAM	9.868059
CUL2	2.661236
CCNY	2.1531568
PPIF	3.8486729
NUFIP2	7.496904
UBTF	7.377567
PSMD3	9.8147135
CASC3	4.321658
RAD51C	6.9477277
TUBD1	1.4926554
KPNB1	17.80255
GOSR2	2.5920768
PNPO	1.5686269
RPS6KB1	3.1932757
CAMTA2	0.89715916
MED13	3.8844397
PFN1	42.736115
RNF167	11.034895
SLC25A11	9.680914
C1QBP	20.331396
BLMH	5.488379
CPD	2.0310016
GOSR1	4.925281
