	ref_hk
CLNS1A	8.493954
EED	2.1496224
TSG101	3.5324953
BCS1L	1.0571636
LMAN1	7.2617817
ARHGEF10L	0.09486044
EIF4G3	3.7941434
GRAMD4	0.9657338
ZNF638	7.900871
TIMM21	1.2128004
ZNF37A	2.356142
MARK3	4.940399
SLC25A3	21.524809
TMEM131	4.211174
DLG1	3.5720124
RAB7A	9.552146
BCAP29	2.3773017
SART3	3.0875788
EXOSC7	2.8089416
MKRN2	1.5924482
RBM7	3.7738507
PTPN23	1.2900145
MLH1	2.1406665
UNG	1.51822
KLHL20	1.7834089
TOP2B	4.7495537
TM9SF3	6.123011
DNAJC10	4.7433424
GTF3C1	2.3503964
USP33	4.32575
SNRPA	5.5531826
SIRT6	1.2473874
CAPZB	16.542776
UBE2A	6.2036657
ARAF	2.6043613
MCCC1	1.3875998
UBE2K	5.894799
PIK3C3	2.6044116
PPP2R5C	17.816252
GNB1	9.215035
MLLT10	3.5738246
VDAC3	5.426878
PCM1	11.698681
ITCH	3.74803
SDF4	6.6014276
TOLLIP	2.1299982
UBE2D4	0.96006787
XRCC5	15.536147
MKNK1	1.692805
REXO1	2.2238672
SAR1A	5.0338783
CIC	1.8515804
FDFT1	6.090631
DDX1	3.6587012
DNM2	5.2614145
SLC35C2	2.9632392
RAB21	6.2285833
SMARCA2	9.706331
CNOT4	5.087297
PSEN1	2.551546
CPOX	1.0065854
DLGAP4	2.0792315
OSTM1	2.9019747
EXD2	0.5803562
UBA5	2.749872
ZNF506	4.368518
JMJD4	1.1497812
WDR70	2.4704068
BZW1	13.727617
ME2	3.9911196
MRPL22	4.103881
GSK3B	3.6812277
XPO1	6.5270476
RNF13	4.8537674
TNPO1	4.7510524
PLOD1	0.7327493
DIS3	3.6458383
TDRD3	1.9537756
ZNF446	0.45417354
RPS5	44.423714
YTHDC1	12.492085
CHMP2B	5.3392835
PPIE	3.6665444
ZMPSTE24	1.8442041
STARD7	5.743059
NOA1	2.928575
REST	7.8282313
WBP11	7.1007724
EIF3I	11.316375
TXLNA	2.2211668
NCOA1	3.035623
RAB10	5.872334
HADHA	11.209601
CD82	6.030025
MYNN	2.3715785
PREP	1.7037576
SEH1L	2.0871165
CPNE3	5.812098
RRN3	2.9017706
CTTN	0.19956401
CHERP	2.593804
ATG16L1	1.5060354
POMGNT1	0.9501838
CHMP5	4.8206005
NFX1	3.907837
DIMT1	3.3823857
EIF2AK1	5.353045
SEPHS1	1.6142559
MRPL28	3.505788
ITPKC	0.36377844
TMED2	7.9274554
ZFAND6	6.3277435
TXLNG	3.3144841
HUWE1	5.7641506
ZW10	0.7540353
ALG9	0.7953647
ACOX3	0.63604605
PIGS	2.0400393
ATXN7L3	1.4954447
PSMC5	9.258168
OGFOD1	1.732849
NOP14	3.6401048
SF3B2	14.594984
DNM1L	4.17498
ERGIC2	5.9871135
METTL2A	1.1639495
CNOT3	2.3522837
DDX18	14.605722
KHSRP	3.290707
ANKRD10	6.531389
CRLS1	1.6595552
ATRN	0.7738231
NSFL1C	3.9187088
ZNF343	0.2797996
MAVS	2.154363
SNX5	6.6744094
RPL6	44.47945
MAPKAPK5	2.5245225
ESF1	4.8246036
ANAPC5	8.232189
TMEM230	7.8600674
PEBP1	17.177927
CDIP1	1.6072556
GANAB	3.644768
RBM41	1.3058506
MLF2	7.4020343
DDX24	23.019001
ZBTB25	4.2477107
NECAP1	4.389253
DHX32	0.97796273
PAPOLA	15.091239
CCNK	5.2058716
MRPS33	5.226863
NDUFB2	13.908547
NUDC	9.216608
