id_interaction,id_cp_interaction,multidata_1_id,multidata_2_id
153,PDGFD_PDGFRB,33,232
154,IGF1_IGF1R,34,233
155,IGF1_ITGA6_ITGB4,34,375
156,IHH_PTCH1,35,236
157,IHH_PTCH2,35,237
158,CCL2_ACKR1,36,238
159,CCL8_ACKR1,37,238
160,CXCL1_ACKR1,38,238
161,CXCL2_ACKR1,39,238
162,CXCL3_ACKR1,40,238
163,CXCL6_ACKR1,41,238
164,CXCL8_ACKR1,42,238
165,CCL11_ACKR1,43,238
166,CXCL12_CXCR4,44,239
167,CXCL12_ACKR3,44,240
168,MIF_CD74_CXCR4,45,376
169,MIF_CD74_CD44,45,377
170,MIF_ACKR3,45,240
171,IL6_IL6R_IL6ST,46,378
172,CLCF1_CNTFR_LIFR,47,379
173,CTF1_LIFR_IL6ST,48,380
174,IL1B_IL1R1_IL1RAP,49,381
175,TNFSF10_TNFRSF10B,50,249
176,NGF_NGFR,51,250
177,TNFSF12_TNFRSF12A,52,251
178,SPP1_CD44,53,242
179,SPP1_ITGAV_ITGB1,53,382
180,SPP1_ITGAV_ITGB5,53,383
181,SPP1_ITGA4_ITGB1,53,384
182,SPP1_ITGA9_ITGB1,53,385
183,SPP1_ITGA8_ITGB1,53,386
184,SPP1_ITGA5_ITGB1,53,387
185,NAMPT_INSR,54,257
186,NAMPT_ITGA5_ITGB1,54,387
187,ANGPTL1_ITGA1_ITGB1,55,388
188,ANGPTL2_ITGA5_ITGB1,56,387
189,ANGPTL4_ITGA5_ITGB1,57,387
190,ANGPTL4_CDH5,57,136
191,ANGPTL4_CDH11,57,259
192,ANGPTL4_SDC1,57,260
193,ANGPTL4_SDC2,57,261
194,ANGPTL4_SDC3,57,262
195,ANGPTL4_SDC4,57,263
196,ANGPT1_TEK,58,264
197,ANGPT2_TEK,59,264
198,ANGPT2_ITGA5_ITGB1,59,387
199,MDK_SDC1,60,260
200,MDK_SDC2,60,261
201,MDK_SDC4,60,263
202,MDK_PTPRZ1,60,265
203,MDK_ITGA4_ITGB1,60,384
204,MDK_ITGA6_ITGB1,60,389
205,MDK_LRP1,60,266
206,MDK_NCL,60,267
207,PTN_PTPRZ1,61,265
208,PTN_SDC1,61,260
209,PTN_SDC2,61,261
210,PTN_SDC3,61,262
211,PTN_SDC4,61,263
212,PTN_NCL,61,267
213,POSTN_ITGAV_ITGB5,62,383
214,EDN1_EDNRA,63,268
215,EDN3_EDNRA,64,268
216,EDN1_EDNRB,63,269
217,EDN3_EDNRB,64,269
218,GAL_GALR1,65,270
219,POMC_MC1R,66,271
220,NPY_NPY1R,67,272
221,NPY_GPR83,67,273
222,PYY_NPY1R,68,272
223,PYY_GPR83,68,273
224,SST_SSTR2,69,274
225,PRSS3_F2R,70,275
226,PRSS3_F2RL1,70,276
227,PRSS3_PARD3,70,277
228,ADCYAP1_ADCYAP1R1,71,278
229,VIP_VIPR1,72,279
230,VIP_VIPR2,72,280
231,NPPC_NPR2,73,281
232,BDNF_NTRK2,74,282
233,HGF_MET,75,283
234,NTF3_NTRK2,76,282
