	ref_hk
BCS1L	2.7507915
LMAN1	9.398626
ARHGEF10L	3.3960192
EIF4G3	4.978065
GRAMD4	1.4871488
ZNF638	9.092933
TIMM21	2.3333802
ZNF37A	2.2672231
MARK3	6.450626
SLC25A3	24.942554
TMEM131	3.9733953
DLG1	5.020731
RAB7A	15.770854
BCAP29	5.166607
SART3	2.725029
EXOSC7	5.7387595
MKRN2	2.0467181
RBM7	3.2135787
PTPN23	1.2080973
MLH1	3.3954809
UNG	4.0466394
KLHL20	2.7870176
TOP2B	6.461841
TM9SF3	6.2198653
DNAJC10	3.5321376
GTF3C1	2.1422675
USP33	4.685728
SNRPA	9.775512
SIRT6	2.201029
CAPZB	20.94861
UBE2A	7.7722354
ARAF	3.3903773
MCCC1	3.3412776
UBE2K	9.5581665
PIK3C3	2.9254293
PPP2R5C	8.900916
GNB1	8.239972
MLLT10	6.482549
VDAC3	12.398197
PCM1	11.420572
ITCH	5.1674705
SDF4	6.472067
TOLLIP	3.8325002
UBE2D4	1.6058849
XRCC5	18.15318
MKNK1	5.2171187
REXO1	1.6954769
SAR1A	7.130644
CIC	1.4459599
FDFT1	8.692962
DDX1	7.3060975
DNM2	5.0817747
SLC35C2	2.930685
RAB21	3.5943122
SMARCA2	6.582713
CNOT4	5.072381
PSEN1	3.19306
CPOX	4.7686753
DLGAP4	2.2751267
OSTM1	2.563195
EXD2	0.7320621
UBA5	3.432408
ZNF506	1.2777356
JMJD4	1.3906338
WDR70	5.3550143
BZW1	11.755415
ME2	5.78423
MRPL22	9.208858
GSK3B	4.6225853
XPO1	8.621309
RNF13	8.3691635
TNPO1	5.252661
PLOD1	2.6738827
DIS3	2.8226573
TDRD3	2.56611
ZNF446	0.38453507
RPS5	36.018208
YTHDC1	8.311449
CHMP2B	5.052646
PPIE	6.062436
ZMPSTE24	2.8208733
STARD7	7.4151487
NOA1	3.187918
REST	5.6317143
WBP11	7.7915063
EIF3I	15.383645
TXLNA	2.2365632
NCOA1	4.758394
RAB10	11.700533
HADHA	15.194557
CD82	7.0777535
MYNN	2.2000256
PREP	2.056966
SEH1L	3.3213706
CPNE3	5.520545
RRN3	2.6210542
CTTN	1.8535023
CHERP	2.2764547
ATG16L1	1.1765074
POMGNT1	1.2155033
CHMP5	8.406416
NFX1	4.2426925
DIMT1	3.7688737
EIF2AK1	9.781871
SEPHS1	2.442781
MRPL28	8.5104475
ITPKC	0.45006305
TMED2	12.4526615
ZFAND6	10.708508
TXLNG	2.5811546
HUWE1	6.089081
ZW10	1.4494278
ALG9	0.41504735
ACOX3	1.0425009
PIGS	4.000808
ATXN7L3	0.926233
PSMC5	13.058867
OGFOD1	2.2471242
NOP14	3.5356295
SF3B2	13.561859
DNM1L	5.0759115
ERGIC2	5.87072
METTL2A	1.8901701
CNOT3	2.4351232
DDX18	12.123353
KHSRP	5.0377984
ANKRD10	6.552133
CRLS1	4.9233594
ATRN	3.400237
NSFL1C	6.9371567
ZNF343	0.25243965
MAVS	3.43062
SNX5	13.11945
RPL6	37.165234
MAPKAPK5	2.6761453
ESF1	6.314326
ANAPC5	10.287997
TMEM230	13.371326
PEBP1	21.026184
CDIP1	2.167618
GANAB	5.855309
RBM41	1.9212874
MLF2	10.831248
DDX24	12.515694
ZBTB25	1.8291267
NECAP1	2.3889785
DHX32	1.7222761
PAPOLA	14.794967
CCNK	4.1138277
MRPS33	8.663158
NDUFB2	21.057446
NUDC	14.852258
MAEA	4.2967243
MUL1	1.2710003
SPG21	6.484532
DNAJB11	6.3119187
GNPTG	4.112726
GOLGA3	2.012334
MCOLN1	6.2807875
GLG1	6.419459
TNRC6A	6.509789
EXOC1	3.2748806
RBM27	1.7542284
PUS7	1.6382685
DLD	6.2244296
TXNL1	12.937977
FH	6.659749
CDV3	6.008699
ALKBH5	3.5275154
SPAG7	7.6175375
TMEM101	3.5551846
PSME1	22.470827
PPP2R3C	5.53124
HAUS4	3.2715938
OSGEP	5.615609
RNF31	0.20634556
SCFD1	6.319282
HNRNPC	26.2669
TOX4	6.0249424
TINF2	3.3372111
SNAP23	7.490557
MFSD11	2.653492
COMT	11.810611
ECHDC1	7.292859
LRRFIP2	7.5849934
SEC22C	3.332418
HDAC6	2.419906
UPRT	1.2327819
CDC23	1.9814898
AAAS	4.3586063
CBX5	8.989617
DHPS	6.554731
ARCN1	4.001277
PSMD5	2.0506394
NANS	8.177366
IKZF5	1.5777973
WAC	8.835317
NUBP2	6.3194976
HIVEP1	3.161073
BRPF3	0.8081605
MRPS18A	5.173011
CDC5L	7.268344
SH3GLB1	9.781234
TMED1	3.7452705
RAB18	5.86865
MZF1	1.3947966
OCEL1	1.9998597
PSMD8	16.033386
HNRNPM	16.246174
NDUFB7	17.228827
TECR	14.09507
TIMM13	15.017412
POLR2E	13.839979
TRMT2A	3.2306473
