	ref_hk
EED	1.2442806
TSG101	5.5776973
BCS1L	0.86423624
LMAN1	7.8016577
ARHGEF10L	1.6386732
EIF4G3	4.3266945
GRAMD4	1.1744274
ZNF638	5.953402
TIMM21	1.1119945
ZNF37A	1.7932401
MARK3	5.6175666
SLC25A3	20.24408
TMEM131	3.2007706
DLG1	3.4728446
RAB7A	15.739285
BCAP29	5.0653353
SART3	1.5134726
EXOSC7	3.155537
MKRN2	1.3252809
RBM7	2.8827744
PTPN23	1.1959201
MLH1	1.6984632
UNG	1.0433711
KLHL20	1.8245617
TOP2B	3.3087344
TM9SF3	5.8397484
DNAJC10	3.1744342
GTF3C1	1.8790126
USP33	3.7619338
SNRPA	3.9847524
SIRT6	1.2943424
CAPZB	15.400418
UBE2A	6.166181
ARAF	2.5449994
MCCC1	2.6313655
UBE2K	6.8627014
PIK3C3	2.0292912
PPP2R5C	8.536808
GNB1	9.501274
MLLT10	3.904848
VDAC3	6.040613
PCM1	8.129995
ITCH	3.7722044
SDF4	7.12987
TOLLIP	3.3150308
UBE2D4	1.724695
XRCC5	10.585334
MKNK1	3.4088006
REXO1	0.9751757
SAR1A	6.839912
CIC	1.2557309
FDFT1	8.164925
DDX1	3.821536
DNM2	5.364178
SLC35C2	2.3325372
RAB21	4.52089
SMARCA2	4.4541144
CNOT4	4.28435
PSEN1	4.262961
CPOX	0.6989662
DLGAP4	2.8336673
OSTM1	3.4894598
EXD2	0.78847194
UBA5	1.9072634
ZNF506	1.1392862
JMJD4	0.79513735
WDR70	2.6813836
BZW1	10.399255
ME2	3.2019691
MRPL22	4.5159774
GSK3B	4.142565
XPO1	4.954491
RNF13	10.368139
TNPO1	4.467724
PLOD1	2.2546403
DIS3	2.3197198
TDRD3	2.6194472
ZNF446	0.45017818
RPS5	33.468338
YTHDC1	5.9921284
CHMP2B	6.545741
PPIE	3.0811484
ZMPSTE24	3.3128586
STARD7	4.905017
NOA1	1.6369027
REST	4.1877027
WBP11	4.447139
EIF3I	9.65962
TXLNA	1.9016067
NCOA1	4.513574
RAB10	9.791631
HADHA	9.417835
CD82	4.202315
MYNN	1.2861073
PREP	1.6884038
SEH1L	1.8749179
CPNE3	6.051108
RRN3	1.6799271
CTTN	3.3541565
CHERP	1.2075187
ATG16L1	0.76123494
POMGNT1	1.4500238
CHMP5	8.754953
NFX1	2.6199002
DIMT1	2.0156817
EIF2AK1	4.2189884
SEPHS1	1.2837415
MRPL28	4.4176135
ITPKC	1.8263211
TMED2	10.98032
ZFAND6	9.098154
TXLNG	1.9256771
HUWE1	4.14679
ZW10	0.70537996
ALG9	0.78899735
ACOX3	0.771049
PIGS	2.0273523
ATXN7L3	0.8478062
PSMC5	8.356268
OGFOD1	1.2686565
NOP14	1.4938978
SF3B2	9.7778635
DNM1L	3.1370902
ERGIC2	4.807232
METTL2A	1.0176253
CNOT3	1.3292756
DDX18	8.674927
KHSRP	2.8122973
ANKRD10	5.6634803
CRLS1	3.6752741
ATRN	1.5406435
NSFL1C	3.992825
ZNF343	0.17883475
MAVS	2.0132375
SNX5	6.730373
RPL6	35.52759
MAPKAPK5	1.9277058
ESF1	4.352497
ANAPC5	5.360334
TMEM230	10.695348
PEBP1	18.633654
CDIP1	1.0738364
GANAB	3.7158546
RBM41	1.0580673
MLF2	8.760035
DDX24	10.83765
ZBTB25	1.2653323
NECAP1	1.8420535
DHX32	1.4860214
PAPOLA	10.426793
CCNK	3.1023276
MRPS33	5.147842
NDUFB2	19.009863
NUDC	8.866874
MAEA	2.2308273
MUL1	1.2134959
SPG21	8.627368
DNAJB11	5.05147
GNPTG	4.711738
GOLGA3	2.4530554
MCOLN1	4.814102
GLG1	6.2403035
TNRC6A	3.7976632
EXOC1	2.9488163
RBM27	1.0533589
PUS7	0.7447962
DLD	4.0622253
TXNL1	8.108233
FH	2.5838125
CDV3	7.176081
ALKBH5	3.5866663
SPAG7	6.540348
TMEM101	2.6996808
PSME1	15.55421
PPP2R3C	3.575627
HAUS4	1.7638109
OSGEP	2.7848847
RNF31	0.33452627
SCFD1	4.3698783
HNRNPC	18.518137
TOX4	4.712629
TINF2	2.8261664
SNAP23	4.6483073
MFSD11	2.2992725
COMT	12.397436
ECHDC1	7.489526
LRRFIP2	5.308657
SEC22C	2.9641938
HDAC6	1.2196715
UPRT	0.8852361
CDC23	1.0504103
AAAS	1.5631428
CBX5	3.4018798
DHPS	3.960203
ARCN1	3.6618116
PSMD5	1.6249697
NANS	6.9282494
IKZF5	1.025167
WAC	7.448151
NUBP2	3.5076122
HIVEP1	1.9637803
BRPF3	0.65021336
MRPS18A	2.733302
CDC5L	3.801678
SH3GLB1	9.584474
TMED1	2.554395
RAB18	5.717276
MZF1	1.1678766
OCEL1	1.9713415
PSMD8	11.94236
HNRNPM	10.293575
NDUFB7	14.34287
TECR	9.008996
TIMM13	9.179823
POLR2E	8.302214
TRMT2A	1.2754554
RANBP1	8.847574
ZDHHC8	0.789788
SNAP29	3.0924833
CRKL	1.5856277
LZTR1	0.74664134
SMARCB1	4.4430265
BCL2L13	2.553765
SF3A1	3.3308976
SPECC1L	1.3278457
SNRPD3	9.555476
PES1	2.0976758
MAPK1	6.387574
SRRD	0.68105185
PATZ1	0.9187038
TFIP11	1.0628407
EIF3L	13.699085
MICALL1	0.6109474
POLR2F	7.214396
PICK1	1.6550752
DDX17	15.829291
TCF20	1.3787694
HSCB	1.7314687
TOMM22	7.4891605
FBXO7	5.3294616
