	ref_hk
PICALM	6.2431207
MRPS34	5.7603607
CLNS1A	5.371739
EED	1.3400397
TSG101	2.9736533
BCS1L	0.529998
LMAN1	3.404629
ARHGEF10L	0.53207564
EIF4G3	3.216242
GRAMD4	0.79680824
ZNF638	5.025472
TIMM21	0.62113166
ZNF37A	1.5334905
MARK3	5.022755
SLC25A3	17.650661
TMEM131	2.6495416
DLG1	2.6042645
RAB7A	9.845644
BCAP29	2.0665839
SART3	1.934554
EXOSC7	1.7125654
MKRN2	1.1803663
RBM7	2.4560754
PTPN23	0.83080715
MLH1	1.2354578
UNG	0.46905515
KLHL20	1.2660296
TOP2B	4.4739704
TM9SF3	5.189353
DNAJC10	3.0894284
GTF3C1	2.7074323
USP33	4.0018144
SNRPA	3.927085
SIRT6	0.8834966
CAPZB	16.080536
UBE2A	4.3127933
ARAF	2.1098106
MCCC1	0.836627
UBE2K	4.706136
PIK3C3	2.1074243
PPP2R5C	12.680275
GNB1	9.222917
MLLT10	2.4365735
VDAC3	4.6486235
PCM1	8.145749
ITCH	3.6638358
SDF4	4.9346886
TOLLIP	2.7524018
UBE2D4	0.7324976
XRCC5	11.628506
MKNK1	2.4218502
REXO1	1.597542
SAR1A	4.7364874
CIC	1.4568988
FDFT1	4.414386
DDX1	2.2143795
DNM2	4.4496775
SLC35C2	2.1778338
RAB21	4.590444
SMARCA2	6.2980313
CNOT4	3.3517509
PSEN1	3.0741377
CPOX	0.6371801
DLGAP4	1.8764453
OSTM1	2.2488241
EXD2	0.23586628
UBA5	1.4602313
ZNF506	1.8365896
JMJD4	0.6226905
WDR70	1.7815093
BZW1	12.63261
ME2	3.7615952
MRPL22	2.7798479
GSK3B	3.3016825
XPO1	4.3440075
RNF13	5.2935147
TNPO1	3.124897
PLOD1	1.0443748
DIS3	2.8903532
TDRD3	1.1598898
ZNF446	0.27091146
RPS5	36.168568
YTHDC1	7.858791
CHMP2B	3.8853934
PPIE	2.223297
ZMPSTE24	1.6505688
STARD7	4.627545
NOA1	1.7835068
REST	5.934119
WBP11	5.1833262
EIF3I	7.5480905
TXLNA	1.5096433
NCOA1	4.132456
RAB10	5.7069964
HADHA	9.739225
CD82	2.8934417
MYNN	1.266851
PREP	1.106496
SEH1L	1.1292952
CPNE3	4.7627096
RRN3	1.6909443
CTTN	0.2793305
CHERP	1.3849013
ATG16L1	1.0588628
POMGNT1	0.74965596
CHMP5	3.4271505
NFX1	1.9945182
DIMT1	1.4801557
EIF2AK1	5.974015
SEPHS1	1.0149555
MRPL28	3.2276032
ITPKC	0.37037757
TMED2	7.3253746
ZFAND6	5.3253574
TXLNG	1.6543404
HUWE1	4.2481647
ZW10	0.39387193
ALG9	0.16604215
ACOX3	0.4576571
PIGS	1.8742923
ATXN7L3	1.5857794
PSMC5	7.1697035
OGFOD1	0.9490881
NOP14	1.9943683
SF3B2	12.374325
DNM1L	3.2750614
ERGIC2	2.7887752
METTL2A	0.5397087
CNOT3	1.4268985
DDX18	7.345856
KHSRP	2.4444242
ANKRD10	3.6446297
CRLS1	1.1567135
ATRN	0.6814879
NSFL1C	3.3175764
ZNF343	0.11863423
MAVS	2.0218709
SNX5	3.9139333
RPL6	38.73119
MAPKAPK5	2.099672
ESF1	2.504406
ANAPC5	6.8684115
TMEM230	6.317719
PEBP1	9.07555
CDIP1	1.0677437
GANAB	2.6004355
RBM41	1.0350844
MLF2	5.4950542
DDX24	13.893389
ZBTB25	1.9918507
NECAP1	3.0517533
DHX32	0.60533774
PAPOLA	11.116159
CCNK	4.310896
MRPS33	2.5397913
NDUFB2	12.140478
NUDC	5.423803
MAEA	2.0746613
MUL1	0.9765934
SPG21	4.921065
DNAJB11	3.0012872
GNPTG	2.625492
