	ref_hk
CLNS1A	8.343508
EED	3.2522848
TSG101	4.4688115
BCS1L	0.6311594
LMAN1	3.6985686
ARHGEF10L	4.4548564
EIF4G3	25.879616
GRAMD4	1.2780907
ZNF638	24.097311
TIMM21	1.511198
ZNF37A	8.624013
MARK3	18.473406
SLC25A3	8.219717
TMEM131	11.664443
DLG1	12.954031
RAB7A	9.777507
BCAP29	3.2140641
SART3	3.6114888
EXOSC7	2.8897939
MKRN2	2.295961
RBM7	0.7170834
PTPN23	1.3241775
MLH1	3.193213
UNG	0.49357346
KLHL20	4.2556224
TOP2B	11.755363
TM9SF3	7.6081505
DNAJC10	3.8786926
GTF3C1	5.209399
USP33	13.117365
SNRPA	1.0218427
SIRT6	1.1148844
CAPZB	12.713745
UBE2A	1.9200485
ARAF	1.1929156
MCCC1	5.2174115
UBE2K	13.872588
PIK3C3	8.411352
PPP2R5C	9.15264
GNB1	18.517063
MLLT10	18.120718
VDAC3	11.176336
PCM1	22.57633
ITCH	11.950605
SDF4	3.032557
TOLLIP	2.1299531
UBE2D4	1.8121378
XRCC5	13.1194105
MKNK1	2.211347
REXO1	1.3842983
SAR1A	3.1478748
CIC	2.0651815
FDFT1	8.584271
DDX1	5.684354
DNM2	8.819495
SLC35C2	2.7963672
RAB21	4.361128
SMARCA2	14.327083
CNOT4	10.217088
PSEN1	5.5060873
CPOX	0.8323487
DLGAP4	9.141946
OSTM1	3.4406123
EXD2	2.0439067
UBA5	2.5865023
ZNF506	4.003434
JMJD4	0.41593376
WDR70	13.434092
BZW1	2.9138353
ME2	5.8231297
MRPL22	2.1542385
GSK3B	20.706018
XPO1	14.012642
RNF13	12.262861
TNPO1	15.825282
PLOD1	1.2482078
DIS3	2.828292
TDRD3	8.2815
ZNF446	0.7981256
RPS5	7.6639404
YTHDC1	7.949505
CHMP2B	2.0790412
PPIE	1.9368618
ZMPSTE24	1.1442597
STARD7	3.4310112
NOA1	0.8190225
REST	1.055072
WBP11	3.3098133
EIF3I	2.2487104
TXLNA	1.4815781
NCOA1	31.17568
RAB10	10.15197
HADHA	5.2367926
CD82	0.59858996
MYNN	1.8627751
PREP	2.837576
SEH1L	1.3548535
CPNE3	4.0927505
RRN3	2.2507908
CTTN	6.8172946
CHERP	1.7822965
ATG16L1	1.4820062
POMGNT1	2.191974
CHMP5	3.4786804
NFX1	8.813422
DIMT1	1.9643877
EIF2AK1	3.7204013
SEPHS1	2.1043484
MRPL28	1.6166168
ITPKC	1.4055939
TMED2	2.7809987
ZFAND6	7.4830117
TXLNG	3.6793668
HUWE1	10.620331
ZW10	1.316057
ALG9	2.580294
ACOX3	2.2465422
PIGS	1.8324853
ATXN7L3	0.8976867
PSMC5	2.920874
OGFOD1	2.3014438
NOP14	1.0930469
SF3B2	5.8882565
DNM1L	13.484455
ERGIC2	5.7718387
METTL2A	1.1463434
CNOT3	1.0629222
DDX18	7.188382
KHSRP	2.2709508
